id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
56766,"Duplex avec vue, centre ville",269557,Isabelle,5e Arrondissement,45.76418,4.82886,Entire home/apt,121,30,56,2024-06-30,0.31,1,86,1
77104,Nice Flat in the center of Lyon,411285,Clementine,1er Arrondissement,45.76842,4.82745,Entire home/apt,90,2,27,2025-06-22,0.15,1,83,2
134539,"Centre of old town,home sweet home",660135,Polali,5e Arrondissement,45.7593,4.82548,Entire home/apt,83,2,134,2024-06-04,0.79,1,88,0
137132,"Bel apartment, 2 rooms, Lyon center",670404,Sandrine,6e Arrondissement,45.76884460449219,4.854162216186523,Entire home/apt,88,365,20,2019-12-28,0.12,1,298,0
174304,Quartier Terreaux 4/6 pers. Hyper centre / Clim,832917,Giuseppina,1er Arrondissement,45.76695,4.83241,Entire home/apt,189,2,462,2025-06-22,2.93,2,219,25
233372,Clear &very central flat Vieux Lyon,1221417,Max,5e Arrondissement,45.75935,4.82228,Entire home/apt,51,2,396,2025-05-31,2.38,1,294,62
242183,"Pleasant studio, Monplaisir district, Lyon 3rd",1271050,Stéphane,3e Arrondissement,45.74727,4.86683,Entire home/apt,70,1,53,2025-06-08,0.39,4,25,20
249711,very pleasant and located idealment,1308521,Anaïs,7e Arrondissement,45.75207,4.83978,Entire home/apt,210,2,29,2025-06-22,0.18,1,359,2
251630,Studio apartment near opera - let 21 days min,1319577,Emmanuel,1er Arrondissement,45.77047,4.834133,Entire home/apt,44,21,14,2025-05-30,0.12,1,193,3
298089,Le Duplex - Spacious triple room.,1221016,Romain,3e Arrondissement,45.75775,4.87644,Private room,35,7,105,2023-12-01,0.65,1,0,0
329950,Roomy and luminous apartment,1683652,NATHALIE Et ALAIN,3e Arrondissement,45.7467,4.87099,Entire home/apt,68,2,30,2025-06-09,0.2,1,15,3
342674,"★SAXE & THE CITY★ 90m², Quiet, Balcony, Clean++ ❤️",1738855,Amael Et Ida,3e Arrondissement,45.75383,4.84758,Entire home/apt,155,1,366,2025-06-01,2.31,1,263,28
369303,"Independent room on terrace with trees, B&B,Garage",1862505,Jean François,6e Arrondissement,45.76487,4.86761,Entire home/apt,44,2,468,2021-12-11,2.9,1,117,0
387453,"in downtown LYON, your little PROVENCE",718463,Lionel,1er Arrondissement,45.769253,4.829836,Entire home/apt,77,6,76,2025-01-02,0.47,1,5,3
403747,FULL City CENTER Lyon Bellecour,2013310,Boris,2e Arrondissement,45.75865,4.83353,Private room,67,2,574,2025-06-22,3.57,2,62,1
551810,Charming rooftop house terrace and view Fourviere,2711663,Julie Et Michael,2e Arrondissement,45.76489196316514,4.831404311064705,Entire home/apt,88,3,40,2025-05-13,0.32,1,79,1
